Year,Area,Main type of activity,Level of education,Population 31 Dec
2017,MK17 North Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,23466
2017,MK17 North Ostrobothnia,Unemployed,Total,23746
2017,MK17 North Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,1527
2017,MK18 Kainuu,Total,Total,73959
2017,MK18 Kainuu,Total,7-8 Master's or equivalent level or doctoral or equivalent level,3512
2017,MK18 Kainuu,Employed,Total,27345
2017,MK18 Kainuu,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,2591
2017,MK18 Kainuu,Unemployed,Total,4722
2017,MK18 Kainuu,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,123
2017,MK19 Lapland,Total,Total,179223
2017,MK19 Lapland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,9780
2017,MK19 Lapland,Employed,Total,70358
2017,MK19 Lapland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,7445
2017,MK19 Lapland,Unemployed,Total,10992
2017,MK19 Lapland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,377
2017,MK21 Åland,Total,Total,29489
2017,MK21 Åland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,1795
2017,MK21 Åland,Employed,Total,14745
2017,MK21 Åland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,1403
2017,MK21 Åland,Unemployed,Total,573
2017,MK21 Åland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,31
2018,MK01 Uusimaa,Total,Total,1671024
2018,MK01 Uusimaa,Total,7-8 Master's or equivalent level or doctoral or equivalent level,230248
2018,MK01 Uusimaa,Employed,Total,797737
2018,MK01 Uusimaa,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,174163
2018,MK01 Uusimaa,Unemployed,Total,72466
2018,MK01 Uusimaa,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,7790
2018,MK02 Southwest Finland,Total,Total,478582
2018,MK02 Southwest Finland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,41594
2018,MK02 Southwest Finland,Employed,Total,207212
2018,MK02 Southwest Finland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,30273
2018,MK02 Southwest Finland,Unemployed,Total,21454
2018,MK02 Southwest Finland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,1726
2018,MK05 Kanta-Häme,Total,Total,171364
2018,MK05 Kanta-Häme,Total,7-8 Master's or equivalent level or doctoral or equivalent level,10427
2018,MK05 Kanta-Häme,Employed,Total,71700
2018,MK05 Kanta-Häme,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,7451
2018,MK05 Kanta-Häme,Unemployed,Total,7257
2018,MK05 Kanta-Häme,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,305
2018,MK07 Päijät-Häme,Total,Total,207394
2018,MK07 Päijät-Häme,Total,7-8 Master's or equivalent level or doctoral or equivalent level,11760
2018,MK07 Päijät-Häme,Employed,Total,81745
2018,MK07 Päijät-Häme,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,8371
2018,MK07 Päijät-Häme,Unemployed,Total,12207
2018,MK07 Päijät-Häme,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,465
2018,MK08 Kymenlaakso,Total,Total,166623
2018,MK08 Kymenlaakso,Total,7-8 Master's or equivalent level or doctoral or equivalent level,8422
2018,MK08 Kymenlaakso,Employed,Total,64162
2018,MK08 Kymenlaakso,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,5862
2018,MK08 Kymenlaakso,Unemployed,Total,9900
2018,MK08 Kymenlaakso,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,318
2018,MK09 South Karelia,Total,Total,128756
2018,MK09 South Karelia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,8354
2018,MK09 South Karelia,Employed,Total,50293
2018,MK09 South Karelia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,6040
2018,MK09 South Karelia,Unemployed,Total,6866
2018,MK09 South Karelia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,371
2018,MK04 Satakunta,Total,Total,218624
2018,MK04 Satakunta,Total,7-8 Master's or equivalent level or doctoral or equivalent level,11050
2018,MK04 Satakunta,Employed,Total,87837
2018,MK04 Satakunta,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,8220
2018,MK04 Satakunta,Unemployed,Total,10130
2018,MK04 Satakunta,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,347
2018,MK06 Pirkanmaa,Total,Total,517333
2018,MK06 Pirkanmaa,Total,7-8 Master's or equivalent level or doctoral or equivalent level,48614
2018,MK06 Pirkanmaa,Employed,Total,222746
2018,MK06 Pirkanmaa,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,37301
2018,MK06 Pirkanmaa,Unemployed,Total,23035
2018,MK06 Pirkanmaa,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,1870
2018,MK13 Central Finland,Total,Total,273283
2018,MK13 Central Finland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,21549
2018,MK13 Central Finland,Employed,Total,109266
2018,MK13 Central Finland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,15914
2018,MK13 Central Finland,Unemployed,Total,15756
2018,MK13 Central Finland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,990
2018,MK14 South Ostrobothnia,Total,Total,194316
2018,MK14 South Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,8746
2018,MK14 South Ostrobothnia,Employed,Total,79525
2018,MK14 South Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,6836
2018,MK14 South Ostrobothnia,Unemployed,Total,6977
2018,MK14 South Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,189
2018,MK15 Ostrobothnia,Total,Total,176193
2018,MK15 Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,13340
2018,MK15 Ostrobothnia,Employed,Total,77718
2018,MK15 Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,10644
2018,MK15 Ostrobothnia,Unemployed,Total,5259
2018,MK15 Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,353
2018,MK10 South Savo,Total,Total,136474
2018,MK10 South Savo,Total,7-8 Master's or equivalent level or doctoral or equivalent level,7357
2018,MK10 South Savo,Employed,Total,51802
2018,MK10 South Savo,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,5106
2018,MK10 South Savo,Unemployed,Total,6681
2018,MK10 South Savo,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,219
2018,MK11 North Savo,Total,Total,250414
2018,MK11 North Savo,Total,7-8 Master's or equivalent level or doctoral or equivalent level,16418
2018,MK11 North Savo,Employed,Total,100394
2018,MK11 North Savo,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,12443
2018,MK11 North Savo,Unemployed,Total,12333
2018,MK11 North Savo,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,464
2018,MK12 North Karelia,Total,Total,165569
2018,MK12 North Karelia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,10425
2018,MK12 North Karelia,Employed,Total,62157
2018,MK12 North Karelia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,7464
2018,MK12 North Karelia,Unemployed,Total,10042
2018,MK12 North Karelia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,545
2018,MK16 Central Ostrobothnia,Total,Total,68437
2018,MK16 Central Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,3388
2018,MK16 Central Ostrobothnia,Employed,Total,28271
2018,MK16 Central Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,2705
2018,MK16 Central Ostrobothnia,Unemployed,Total,2373
2018,MK16 Central Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,82
2018,MK17 North Ostrobothnia,Total,Total,412161
2018,MK17 North Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,31599
2018,MK17 North Ostrobothnia,Employed,Total,166784
2018,MK17 North Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,24571
2018,MK17 North Ostrobothnia,Unemployed,Total,20007
2018,MK17 North Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,1235
2018,MK18 Kainuu,Total,Total,73061
2018,MK18 Kainuu,Total,7-8 Master's or equivalent level or doctoral or equivalent level,3615
2018,MK18 Kainuu,Employed,Total,27836
2018,MK18 Kainuu,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,2666
2018,MK18 Kainuu,Unemployed,Total,3768
2018,MK18 Kainuu,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,122
2018,MK19 Lapland,Total,Total,178522
2018,MK19 Lapland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,10226
2018,MK19 Lapland,Employed,Total,71610
2018,MK19 Lapland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,7742
2018,MK19 Lapland,Unemployed,Total,9395
2018,MK19 Lapland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,348
2018,MK21 Åland,Total,Total,29789
2018,MK21 Åland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,1872
2018,MK21 Åland,Employed,Total,14873
2018,MK21 Åland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,1450
2018,MK21 Åland,Unemployed,Total,548
2018,MK21 Åland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,33
2019,MK01 Uusimaa,Total,Total,1689725
2019,MK01 Uusimaa,Total,7-8 Master's or equivalent level or doctoral or equivalent level,238463
2019,MK01 Uusimaa,Employed,Total,807755
2019,MK01 Uusimaa,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,180575
2019,MK01 Uusimaa,Unemployed,Total,72406
2019,MK01 Uusimaa,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,7856
2019,MK02 Southwest Finland,Total,Total,479341
2019,MK02 Southwest Finland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,42843
2019,MK02 Southwest Finland,Employed,Total,207106
2019,MK02 Southwest Finland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,31226
2019,MK02 Southwest Finland,Unemployed,Total,21527
2019,MK02 Southwest Finland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,1646
2019,MK05 Kanta-Häme,Total,Total,170925
2019,MK05 Kanta-Häme,Total,7-8 Master's or equivalent level or doctoral or equivalent level,10675
2019,MK05 Kanta-Häme,Employed,Total,71144
2019,MK05 Kanta-Häme,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,7633
2019,MK05 Kanta-Häme,Unemployed,Total,6989
2019,MK05 Kanta-Häme,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,316
2019,MK07 Päijät-Häme,Total,Total,206315
2019,MK07 Päijät-Häme,Total,7-8 Master's or equivalent level or doctoral or equivalent level,12082
2019,MK07 Päijät-Häme,Employed,Total,80973
2019,MK07 Päijät-Häme,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,8547
2019,MK07 Päijät-Häme,Unemployed,Total,11665
2019,MK07 Päijät-Häme,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,433
2019,MK08 Kymenlaakso,Total,Total,164456
2019,MK08 Kymenlaakso,Total,7-8 Master's or equivalent level or doctoral or equivalent level,8540
2019,MK08 Kymenlaakso,Employed,Total,62966
2019,MK08 Kymenlaakso,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,5902
2019,MK08 Kymenlaakso,Unemployed,Total,9563
2019,MK08 Kymenlaakso,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,326
2019,MK09 South Karelia,Total,Total,127757
2019,MK09 South Karelia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,8527
2019,MK09 South Karelia,Employed,Total,49196
2019,MK09 South Karelia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,6148
2019,MK09 South Karelia,Unemployed,Total,7132
2019,MK09 South Karelia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,323
2019,MK04 Satakunta,Total,Total,216752
2019,MK04 Satakunta,Total,7-8 Master's or equivalent level or doctoral or equivalent level,11216
2019,MK04 Satakunta,Employed,Total,86409
2019,MK04 Satakunta,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,8335
2019,MK04 Satakunta,Unemployed,Total,10550
2019,MK04 Satakunta,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,331
2019,MK06 Pirkanmaa,Total,Total,519872
2019,MK06 Pirkanmaa,Total,7-8 Master's or equivalent level or doctoral or equivalent level,50227
2019,MK06 Pirkanmaa,Employed,Total,223118
2019,MK06 Pirkanmaa,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,38466
2019,MK06 Pirkanmaa,Unemployed,Total,24444
2019,MK06 Pirkanmaa,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,1983
2019,MK13 Central Finland,Total,Total,272898
2019,MK13 Central Finland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,22118
2019,MK13 Central Finland,Employed,Total,108691
2019,MK13 Central Finland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,16291
2019,MK13 Central Finland,Unemployed,Total,15775
2019,MK13 Central Finland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,921
2019,MK14 South Ostrobothnia,Total,Total,193207
2019,MK14 South Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,8970
2019,MK14 South Ostrobothnia,Employed,Total,79063
2019,MK14 South Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,6954
2019,MK14 South Ostrobothnia,Unemployed,Total,7098
2019,MK14 South Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,203
2019,MK15 Ostrobothnia,Total,Total,175923
2019,MK15 Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,13666
2019,MK15 Ostrobothnia,Employed,Total,77396
2019,MK15 Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,10901
2019,MK15 Ostrobothnia,Unemployed,Total,5235
2019,MK15 Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,353
2019,MK10 South Savo,Total,Total,134314
2019,MK10 South Savo,Total,7-8 Master's or equivalent level or doctoral or equivalent level,7443
2019,MK10 South Savo,Employed,Total,50469
2019,MK10 South Savo,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,5132
2019,MK10 South Savo,Unemployed,Total,6278
2019,MK10 South Savo,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,236
2019,MK11 North Savo,Total,Total,249003
2019,MK11 North Savo,Total,7-8 Master's or equivalent level or doctoral or equivalent level,16889
2019,MK11 North Savo,Employed,Total,100191
2019,MK11 North Savo,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,12781
2019,MK11 North Savo,Unemployed,Total,12200
2019,MK11 North Savo,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,459
2019,MK12 North Karelia,Total,Total,164465
2019,MK12 North Karelia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,10718
2019,MK12 North Karelia,Employed,Total,61194
2019,MK12 North Karelia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,7685
2019,MK12 North Karelia,Unemployed,Total,10178
2019,MK12 North Karelia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,548
2019,MK16 Central Ostrobothnia,Total,Total,68158
2019,MK16 Central Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,3504
2019,MK16 Central Ostrobothnia,Employed,Total,27875
2019,MK16 Central Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,2747
2019,MK16 Central Ostrobothnia,Unemployed,Total,2454
2019,MK16 Central Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,88
2019,MK17 North Ostrobothnia,Total,Total,412830
2019,MK17 North Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,32591
2019,MK17 North Ostrobothnia,Employed,Total,166270
2019,MK17 North Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,25251
2019,MK17 North Ostrobothnia,Unemployed,Total,20731
2019,MK17 North Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,1265
2019,MK18 Kainuu,Total,Total,72306
2019,MK18 Kainuu,Total,7-8 Master's or equivalent level or doctoral or equivalent level,3693
2019,MK18 Kainuu,Employed,Total,27359
2019,MK18 Kainuu,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,2742
2019,MK18 Kainuu,Unemployed,Total,3582
2019,MK18 Kainuu,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,102
2019,MK19 Lapland,Total,Total,177161
2019,MK19 Lapland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,10470
2019,MK19 Lapland,Employed,Total,71810
2019,MK19 Lapland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,7847
2019,MK19 Lapland,Unemployed,Total,8977
2019,MK19 Lapland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,372
2019,MK21 Åland,Total,Total,29884
2019,MK21 Åland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,1952
2019,MK21 Åland,Employed,Total,14541
2019,MK21 Åland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,1512
2019,MK21 Åland,Unemployed,Total,574
2019,MK21 Åland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,28
2020,MK01 Uusimaa,Total,Total,1702678
2020,MK01 Uusimaa,Total,7-8 Master's or equivalent level or doctoral or equivalent level,247123
2020,MK01 Uusimaa,Employed,Total,768692
2020,MK01 Uusimaa,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,183358
2020,MK01 Uusimaa,Unemployed,Total,114143
2020,MK01 Uusimaa,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,11924
2020,MK02 Southwest Finland,Total,Total,481403
2020,MK02 Southwest Finland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,44511
2020,MK02 Southwest Finland,Employed,Total,199102
2020,MK02 Southwest Finland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,31950
2020,MK02 Southwest Finland,Unemployed,Total,30179
2020,MK02 Southwest Finland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,2346
2020,MK05 Kanta-Häme,Total,Total,170577
2020,MK05 Kanta-Häme,Total,7-8 Master's or equivalent level or doctoral or equivalent level,11000
2020,MK05 Kanta-Häme,Employed,Total,69254
2020,MK05 Kanta-Häme,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,7780
2020,MK05 Kanta-Häme,Unemployed,Total,9225
2020,MK05 Kanta-Häme,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,408
2020,MK07 Päijät-Häme,Total,Total,205771
2020,MK07 Päijät-Häme,Total,7-8 Master's or equivalent level or doctoral or equivalent level,12465
2020,MK07 Päijät-Häme,Employed,Total,77524
2020,MK07 Päijät-Häme,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,8752
2020,MK07 Päijät-Häme,Unemployed,Total,15142
2020,MK07 Päijät-Häme,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,559
2020,MK08 Kymenlaakso,Total,Total,162812
2020,MK08 Kymenlaakso,Total,7-8 Master's or equivalent level or doctoral or equivalent level,8670
2020,MK08 Kymenlaakso,Employed,Total,60838
2020,MK08 Kymenlaakso,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,5945
2020,MK08 Kymenlaakso,Unemployed,Total,11335
2020,MK08 Kymenlaakso,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,370
2020,MK09 South Karelia,Total,Total,126921
2020,MK09 South Karelia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,8774
2020,MK09 South Karelia,Employed,Total,47467
2020,MK09 South Karelia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,6232
2020,MK09 South Karelia,Unemployed,Total,8617
2020,MK09 South Karelia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,451
2020,MK04 Satakunta,Total,Total,215416
2020,MK04 Satakunta,Total,7-8 Master's or equivalent level or doctoral or equivalent level,11481
2020,MK04 Satakunta,Employed,Total,83472
2020,MK04 Satakunta,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,8319
2020,MK04 Satakunta,Unemployed,Total,12927
2020,MK04 Satakunta,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,486
2020,MK06 Pirkanmaa,Total,Total,522852
2020,MK06 Pirkanmaa,Total,7-8 Master's or equivalent level or doctoral or equivalent level,52303
2020,MK06 Pirkanmaa,Employed,Total,217568
2020,MK06 Pirkanmaa,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,39701
2020,MK06 Pirkanmaa,Unemployed,Total,32544
2020,MK06 Pirkanmaa,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,2476
2020,MK13 Central Finland,Total,Total,272617
2020,MK13 Central Finland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,22909
2020,MK13 Central Finland,Employed,Total,105045
2020,MK13 Central Finland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,16662
2020,MK13 Central Finland,Unemployed,Total,19326
2020,MK13 Central Finland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,1188
2020,MK14 South Ostrobothnia,Total,Total,192150
2020,MK14 South Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,9257
2020,MK14 South Ostrobothnia,Employed,Total,76659
2020,MK14 South Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,7083
2020,MK14 South Ostrobothnia,Unemployed,Total,9080
2020,MK14 South Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,285
2020,MK15 Ostrobothnia,Total,Total,175816
2020,MK15 Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,14034
2020,MK15 Ostrobothnia,Employed,Total,73717
2020,MK15 Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,10824
2020,MK15 Ostrobothnia,Unemployed,Total,8452
2020,MK15 Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,643
2020,MK10 South Savo,Total,Total,132702
2020,MK10 South Savo,Total,7-8 Master's or equivalent level or doctoral or equivalent level,7578
2020,MK10 South Savo,Employed,Total,48568
2020,MK10 South Savo,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,5156
2020,MK10 South Savo,Unemployed,Total,7669
2020,MK10 South Savo,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,269
2020,MK11 North Savo,Total,Total,248265
2020,MK11 North Savo,Total,7-8 Master's or equivalent level or doctoral or equivalent level,17431
2020,MK11 North Savo,Employed,Total,96967
2020,MK11 North Savo,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,12946
2020,MK11 North Savo,Unemployed,Total,15268
2020,MK11 North Savo,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,623
2020,MK12 North Karelia,Total,Total,163537
2020,MK12 North Karelia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,11036
2020,MK12 North Karelia,Employed,Total,59372
2020,MK12 North Karelia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,7838
2020,MK12 North Karelia,Unemployed,Total,12094
2020,MK12 North Karelia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,645
2020,MK16 Central Ostrobothnia,Total,Total,67988
2020,MK16 Central Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,3613
2020,MK16 Central Ostrobothnia,Employed,Total,27352
2020,MK16 Central Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,2831
2020,MK16 Central Ostrobothnia,Unemployed,Total,3099
2020,MK16 Central Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,91
2020,MK17 North Ostrobothnia,Total,Total,413830
2020,MK17 North Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,33780
2020,MK17 North Ostrobothnia,Employed,Total,163920
2020,MK17 North Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,26036
2020,MK17 North Ostrobothnia,Unemployed,Total,25254
2020,MK17 North Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,1501
2020,MK18 Kainuu,Total,Total,71664
2020,MK18 Kainuu,Total,7-8 Master's or equivalent level or doctoral or equivalent level,3771
2020,MK18 Kainuu,Employed,Total,27098
2020,MK18 Kainuu,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,2764
2020,MK18 Kainuu,Unemployed,Total,3810
2020,MK18 Kainuu,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,122
2020,MK19 Lapland,Total,Total,176665
2020,MK19 Lapland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,10868
2020,MK19 Lapland,Employed,Total,68369
2020,MK19 Lapland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,8092
2020,MK19 Lapland,Unemployed,Total,12015
2020,MK19 Lapland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,439
2020,MK21 Åland,Total,Total,30129
2020,MK21 Åland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,1982
2020,MK21 Åland,Employed,Total,13689
2020,MK21 Åland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,1498
2020,MK21 Åland,Unemployed,Total,1404
2020,MK21 Åland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,78
2021,MK01 Uusimaa,Total,Total,1714741
2021,MK01 Uusimaa,Total,7-8 Master's or equivalent level or doctoral or equivalent level,253513
2021,MK01 Uusimaa,Employed,Total,802986
2021,MK01 Uusimaa,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,190817
2021,MK01 Uusimaa,Unemployed,Total,89635
2021,MK01 Uusimaa,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,8779
2021,MK02 Southwest Finland,Total,Total,483477
2021,MK02 Southwest Finland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,46066
2021,MK02 Southwest Finland,Employed,Total,208984
2021,MK02 Southwest Finland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,33605
2021,MK02 Southwest Finland,Unemployed,Total,22065
2021,MK02 Southwest Finland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,1665
2021,MK05 Kanta-Häme,Total,Total,170213
2021,MK05 Kanta-Häme,Total,7-8 Master's or equivalent level or doctoral or equivalent level,11281
2021,MK05 Kanta-Häme,Employed,Total,70713
2021,MK05 Kanta-Häme,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,7949
2021,MK05 Kanta-Häme,Unemployed,Total,7667
2021,MK05 Kanta-Häme,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,337
2021,MK07 Päijät-Häme,Total,Total,205124
2021,MK07 Päijät-Häme,Total,7-8 Master's or equivalent level or doctoral or equivalent level,12942
2021,MK07 Päijät-Häme,Employed,Total,80363
2021,MK07 Päijät-Häme,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,9182
2021,MK07 Päijät-Häme,Unemployed,Total,12216
2021,MK07 Päijät-Häme,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,444
2021,MK08 Kymenlaakso,Total,Total,161391
2021,MK08 Kymenlaakso,Total,7-8 Master's or equivalent level or doctoral or equivalent level,8895
2021,MK08 Kymenlaakso,Employed,Total,62028
2021,MK08 Kymenlaakso,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,6132
2021,MK08 Kymenlaakso,Unemployed,Total,9082
